"","dataset","sampleID","G.check","XIST_214218_s_at_129641","XIST_221728_x_at_122150","XIST_224588_at_119311","XIST_224589_at_119310","XIST_224590_at_119309","XIST_227671_at_116233","KDM5D_206700_s_at_137012","RPS4Y1_201909_at_141801","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"2441","GSE5086","GSE5086_Biomat_72","female",10.4814672360254,10.8965949107898,12.1908015864609,8.40836486441172,8.30389809342325,11.2948530821356,7.24185395128991,6.90849151411908,"female","female",10.6890310734076,7.0751727327045,3.61385834070313,"female","female"
"2442","GSE5086","GSE5086_Biomat_73","female",10.5035502292125,10.9621781199721,12.5798872913814,8.30801395590472,8.47622445207634,11.8141980579772,7.18039039940547,6.98195495047155,"female","female",10.7328641745923,7.08117267493851,3.65169149965381,"female","female"
"2443","GSE5086","GSE5086_Biomat_74","female",10.3292424978722,10.7695642864863,12.3987670440146,7.94901297196298,8.97972238606283,11.490081974691,6.91816689271698,7.13980314835306,"female","female",10.5494033921792,7.02898502053502,3.52041837164422,"female","female"
"2444","GSE5086","GSE5086_Biomat_75","female",10.294336169451,10.64752728162,12.4807375397528,7.79217233741566,8.53798256304473,11.6450039335697,6.99933694264097,7.16637574547831,"female","female",10.4709317255355,7.08285634405964,3.38807538147586,"female","female"
"2445","GSE5086","GSE5086_Biomat_76","female",9.57790321402219,10.2572042200375,12.1501293557691,8.79218555572247,8.82416486018799,11.702823935273,7.0580765984364,7.13304451001195,"female","female",9.91755371702983,7.09556055422417,2.82199316280565,"female","female"
"2446","GSE5086","GSE5086_Biomat_77","female",9.32161274918305,9.7321766400513,12.5260873526465,8.04151719700744,8.9622357032172,11.9825956311697,7.21315307540981,7.11397889855924,"female","female",9.52689469461717,7.16356598698452,2.36332870763265,"female","female"
"2447","GSE5086","GSE5086_Biomat_78","female",10.3143476604443,10.7339761495394,12.3335964515309,8.53475708279795,8.99394578561744,11.8095683731359,6.9193924669318,7.32628643676999,"female","female",10.5241619049918,7.1228394518509,3.40132245314094,"female","female"
"2448","GSE5086","GSE5086_Biomat_79","female",9.37442798578884,9.72030808948223,11.8350297074092,8.86224306919976,9.43537030968107,11.329960392604,7.18602005958584,7.08330754307172,"female","female",9.57783919958165,7.13466380132878,2.44317539825286,"female","female"
"2449","GSE5086","GSE5086_Biomat_8","female",10.5321146802455,10.9705555362256,12.0983116942213,8.393906025,8.36280418602173,11.4783117266998,6.71588722850106,7.04821384630647,"female","female",10.7513351082355,6.88205053740376,3.86928457083177,"female","female"
"2450","GSE5086","GSE5086_Biomat_80","male",6.11379177893652,7.1457965679637,6.28628747606871,8.6759829001026,3.56714007513939,7.42343032588276,8.93575594978859,11.9594269819765,"male","male",6.7160420220162,10.4475914658825,-3.73154944386634,"male","male"
"2451","GSE5086","GSE5086_Biomat_81","female",10.556726913707,10.8619967253973,12.3740145632112,8.19831388553029,9.58097653128332,11.6014817597004,6.74624063119725,7.41551508335807,"female","female",10.7093618195522,7.08087785727766,3.6284839622745,"female","female"
"2452","GSE5086","GSE5086_Biomat_9","female",10.5494518635453,10.920258576922,12.1963572891876,8.12711785937838,9.09070855814254,11.5467227087592,6.89569816871632,6.9700676753709,"female","female",10.7348552202336,6.93288292204361,3.80197229819003,"female","female"
"2453","GSE55609","GSE55609_Biomat_1","female",6.85173091970906,8.16418717675925,9.16989222807974,7.37103841799153,6.90915790733014,6.62318528936727,4.60889439280389,6.56441731093976,"female","female",7.14009816266084,5.58665585187183,1.55344231078901,"female","female"
"2454","GSE55609","GSE55609_Biomat_10","female",7.20971740078408,8.17541190426032,8.84509440170157,7.38993129713822,6.70853192895599,6.68667250511589,4.72340380250058,6.78397687846912,"female","female",7.29982434896115,5.75369034048485,1.5461340084763,"female","female"
"2455","GSE55609","GSE55609_Biomat_11","female",8.39790794186797,9.55345957157077,10.427988812307,8.26457864840903,7.99637287567436,7.2197880542377,4.41401434473865,6.16789400330175,"female","female",8.3312432951385,5.2909541740202,3.0402891211183,"female","female"
"2456","GSE55609","GSE55609_Biomat_12","female",6.06699357368628,7.2295785116933,8.1358206061989,6.47194315310416,6.08971360859472,7.2678398013353,4.75191385495283,7.10113337067143,"female","female",6.85076083239873,5.92652361281213,0.9242372195866,"female","female"
