"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","XIST_224588_at_1147332","XIST_224589_at_1147331","XIST_224590_at_1147330","XIST_227671_at_1144254","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"30","GSE10760","GSE10760_Biomat_36","male",5.208409891,1.899829146,2.520593464,3.565747195,3.144776852,1.97587721,10.95726888,13.47548846,"male","male",2.832685158,12.21637867,-9.383693512,"male","male"
"31","GSE10760","GSE10760_Biomat_37","male",5.624486526,1.911802782,2.423337103,3.4829818,3.039373524,1.877347169,10.57644769,14.03347485,"male","male",2.7313553135,12.30496127,-9.5736059565,"male","male"
"32","GSE10760","GSE10760_Biomat_38","male",5.54717581,1.889075597,2.53840636,3.646631854,3.786422177,2.000117172,10.69278488,13.89571416,"male","male",3.092519107,12.29424952,-9.201730413,"male","male"
"33","GSE10760","GSE10760_Biomat_39","male",5.573143163,1.909692113,2.50542404,3.542370079,2.960456761,1.962573266,10.90961923,13.38236854,"male","male",2.7329404005,12.145993885,-9.4130534845,"male","male"
"34","GSE10760","GSE10760_Biomat_4","male",7.379374007,1.932078685,2.524599048,3.616263934,3.203691544,2.077774634,9.890293316,13.92195242,"male","male",2.864145296,11.906122868,-9.041977572,"male","male"
"35","GSE10760","GSE10760_Biomat_40","male",5.661586726,1.920797265,2.526296622,3.593404866,3.200258511,1.994373881,10.43786355,13.82397494,"male","male",2.8632775665,12.130919245,-9.2676416785,"male","male"
"36","GSE10760","GSE10760_Biomat_41","female",12.29776813,13.2118663,15.11935875,11.05039734,11.18748753,14.57552605,2.569846735,2.639005984,"female","female",12.754817215,2.6044263595,10.1503908555,"female","female"
"37","GSE10760","GSE10760_Biomat_42","female",12.12073739,12.97248815,14.6296899,9.311319638,10.84554338,14.41841637,2.570738382,2.388059051,"female","female",12.54661277,2.4793987165,10.0672140535,"female","female"
"38","GSE10760","GSE10760_Biomat_43","female",11.93070375,13.08326798,15.0443758,6.928620938,11.00087523,14.16612456,3.496526974,2.67378983,"female","female",12.506985865,3.085158402,9.421827463,"female","female"
"39","GSE10760","GSE10760_Biomat_44","female",12.45690458,11.82034597,14.99675569,11.60614546,11.1483134,14.47730804,3.961771027,2.866167719,"female","female",12.138625275,3.413969373,8.724655902,"female","female"
"40","GSE10760","GSE10760_Biomat_45","female",11.75106104,12.4018186,15.00908703,8.552434194,10.8250807,14.16875279,2.853526495,2.866003131,"female","female",12.07643982,2.859764813,9.216675007,"female","female"
"41","GSE10760","GSE10760_Biomat_46","female",13.29179038,13.2546557,15.1911174,10.29892062,10.42742204,14.3451592,2.748819425,3.52602815,"female","female",13.27322304,3.1374237875,10.1357992525,"female","female"
"42","GSE10760","GSE10760_Biomat_47","female",12.82980268,12.66745197,14.62364773,9.645329453,10.68758769,14.5933268,2.71995262,3.495869539,"female","female",12.748627325,3.1079110795,9.6407162455,"female","female"
"43","GSE10760","GSE10760_Biomat_48","female",11.68362144,11.8855835,14.92194636,11.79032952,10.20340589,14.42408009,3.591893579,3.120332441,"female","female",11.83795651,3.35611301,8.4818435,"female","female"
"44","GSE10760","GSE10760_Biomat_49","female",12.7220628,12.2603068,15.16152466,8.034384461,11.72515915,14.21583946,2.106325069,2.680610836,"female","female",12.4911848,2.3934679525,10.0977168475,"female","female"
"45","GSE10760","GSE10760_Biomat_5","male",5.598673369,2.045121744,2.508561416,3.575603277,3.136107839,1.966788884,10.32002695,14.48588153,"male","male",2.8223346275,12.40295424,-9.5806196125,"male","male"
"46","GSE10760","GSE10760_Biomat_50","male",5.995079767,2.575080049,2.386457659,3.633527323,2.749227956,3.701523137,8.48172531,12.0813823,"male","male",3.1913776395,10.281553805,-7.0901761655,"male","male"
"47","GSE10760","GSE10760_Biomat_51","male",5.251122184,2.536753623,2.425576528,3.734287674,3.514816967,2.697531127,8.264580898,12.38455439,"male","male",3.106174047,10.324567644,-7.218393597,"male","male"
"48","GSE10760","GSE10760_Biomat_52","male",5.721456457,2.571862444,2.731724923,3.644990056,3.453674816,4.267184448,7.702683156,12.26950394,"male","male",3.549332436,9.986093548,-6.436761112,"male","male"
"49","GSE10760","GSE10760_Biomat_53","male",5.197946214,2.536243204,2.356369352,3.600006092,3.407640285,2.593527403,7.593699919,11.60658985,"male","male",3.000583844,9.6001448845,-6.5995610405,"male","male"
"50","GSE10760","GSE10760_Biomat_54","male",5.115758711,2.718828777,2.863878849,3.688335994,3.325910972,2.571482934,8.032643832,12.11755881,"male","male",3.0948949105,10.075101321,-6.9802064105,"male","male"
"51","GSE10760","GSE10760_Biomat_55","male",5.442410915,2.512241239,2.402605057,3.707608213,3.462028898,2.665449789,8.073263846,12.06516006,"male","male",3.0637393435,10.069211953,-7.0054726095,"male","male"
