"","dataset","sampleID","G.check","XIST_214218_s_at_129641","XIST_221728_x_at_122150","XIST_224588_at_119311","XIST_224589_at_119310","XIST_224590_at_119309","XIST_227671_at_116233","KDM5D_206700_s_at_137012","RPS4Y1_201909_at_141801","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"446","GSE14333","GSE14333_Biomat_212","male",8.571939241,9.34854353,10.39168162,7.610652884,8.259409002,9.724389368,5.364438341,4.598531361,"female","disagree",8.9602413855,4.981484851,3.9787565345,"female","female"
"461","GSE14333","GSE14333_Biomat_226","female",4.151851023,5.169001047,5.358591097,1.121398965,3.410716705,5.344196967,8.40840054,10.12334807,"male","disagree",4.660426035,9.265874305,-4.60544827,"male","male"
"770","GSE15434","GSE15434_Biomat_156","female",2.024255977,2.958771487,3.09385714,3.16811545,3.31627751,2.424734635,7.636799098,11.04677698,"male","disagree",3.0263143135,9.341788039,-6.3154737255,"male","male"
"776","GSE15434","GSE15434_Biomat_161","male",9.626678992,10.489117,11.26194423,8.101099669,9.244465141,9.880968048,2.389946617,4.728270156,"female","disagree",9.75382352,3.5591083865,6.1947151335,"female","female"
"889","GSE15434","GSE15434_Biomat_37","male",9.063007417,9.443839927,10.95569301,6.435438831,8.945092797,9.548214286,4.41869543,8.091402524,"female","disagree",9.253423672,6.255048977,2.998374695,"female","female"
"1002","GSE16447","GSE16447_Biomat_5","female",4.29399333333333,4.46961111111111,4.27805666666667,3.24532777777778,2.88193555555556,3.50556,7.39568666666667,13.3030133333333,"male","disagree",3.89180833333333,10.34935,-6.45754166666665,"male","male"
"1005","GSE16447","GSE16447_Biomat_8","male",9.82912666666667,10.3717688888889,11.9521255555556,9.24378444444444,8.87137222222222,10.6219566666667,3.86728444444444,6.00372611111111,"female","disagree",10.1004477777778,4.93550527777778,5.16494250000001,"female","female"
"1137","GSE17913","GSE17913_Biomat_23","female",5.04754112889935,5.92482418269103,6.57248628549861,5.34375132595819,4.68895680357508,5.95105756648207,6.58463679497411,10.2832179227228,"male","disagree",5.63428775432461,8.43392735884846,-2.79963960452385,"male","male"
"1169","GSE17913","GSE17913_Biomat_52","male",6.60613858477892,7.71471638474632,9.15618658292176,6.98536475599302,6.13895324502914,8.40089917377841,5.54020461521012,7.70271107172242,"female","disagree",7.35004057036967,6.62145784346627,0.728582726903399,"female","female"
"1181","GSE17913","GSE17913_Biomat_63","male",6.45122396208934,7.51932562371256,8.99104038427839,6.74198599043382,5.74545045489801,8.37025246922027,5.56834705339515,7.80775768136711,"female","disagree",7.13065580707319,6.68805236738113,0.44260343969206,"female","female"
