"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"bahn_A-89","stanley_bahn","bahn_A-89","female",9.526494895,10.13815702,4.968965964,5.949615993,"female","female",9.8323259575,5.4592909785,4.373034979,"female","female"
"bahn_A-9","stanley_bahn","bahn_A-9","female",6.6079156,9.418366391,5.20047207,5.741077303,"female","female",8.0131409955,5.4707746865,2.542366309,"female","female"
"bahn_A-90","stanley_bahn","bahn_A-90","male",3.50550086,5.566362233,7.359050804,9.244538417,"male","male",4.5359315465,8.3017946105,-3.765863064,"male","male"
"bahn_A-92","stanley_bahn","bahn_A-92","male",5.819332244,4.653582051,7.745739183,9.239999836,"male","male",5.2364571475,8.4928695095,-3.256412362,"male","male"
"bahn_A-93","stanley_bahn","bahn_A-93","female",7.318487683,10.04963818,4.655348915,5.154785547,"female","female",8.6840629315,4.905067231,3.7789957005,"female","female"
"bahn_A-94","stanley_bahn","bahn_A-94","male",3.290316605,4.736980016,7.450804289,9.286238665,"male","male",4.0136483105,8.368521477,-4.3548731665,"male","male"
"bahn_A-95","stanley_bahn","bahn_A-95","male",5.890188233,5.179788207,7.599984254,9.383697949,"male","male",5.53498822,8.4918411015,-2.9568528815,"male","male"
"bahn_A-96","stanley_bahn","bahn_A-96","male",5.698744157,4.662769611,7.987356288,9.346929581,"male","male",5.180756884,8.6671429345,-3.4863860505,"male","male"
"bahn_A-98","stanley_bahn","bahn_A-98","male",3.56705778,5.017568647,7.448591469,9.314320405,"male","male",4.2923132135,8.381455937,-4.0891427235,"male","male"
"bahn_A-99","stanley_bahn","bahn_A-99","female",5.702433545,9.467942013,5.364684844,5.238643885,"female","female",7.585187779,5.3016643645,2.2835234145,"female","female"
"GSE10072_Biomat_1","GSE10072","GSE10072_Biomat_1","female",8.08590159835266,10.1836032554728,7.60476027924995,7.63234226729849,"female","female",9.13475242691273,7.61855127327422,1.51620115363851,"female","female"
"GSE10072_Biomat_10","GSE10072","GSE10072_Biomat_10","female",9.02666341714568,10.7385674921986,7.22560359338542,7.12129248330522,"female","female",9.88261545467214,7.17344803834532,2.70916741632682,"female","female"
"GSE10072_Biomat_100","GSE10072","GSE10072_Biomat_100","male",4.70012376340488,6.33132256409933,9.01955365512839,11.8044331743042,"male","male",5.5157231637521,10.4119934147163,-4.89627025096419,"male","male"
"GSE10072_Biomat_101","GSE10072","GSE10072_Biomat_101","male",4.24496152298911,5.76640737712917,9.36759892776847,11.8004867069385,"male","male",5.00568445005914,10.5840428173535,-5.57835836729434,"male","male"
"GSE10072_Biomat_102","GSE10072","GSE10072_Biomat_102","male",4.82016427713737,6.6923642042765,9.197986301086,11.790529963819,"male","male",5.75626424070694,10.4942581324525,-4.73799389174557,"male","male"
"GSE10072_Biomat_103","GSE10072","GSE10072_Biomat_103","male",4.4044583366724,5.72103230552542,9.27473904011715,12.0104732142783,"male","male",5.06274532109891,10.6426061271977,-5.57986080609881,"male","male"
"GSE10072_Biomat_104","GSE10072","GSE10072_Biomat_104","male",4.55367326261117,6.07728165010573,9.63736645703762,11.765150438419,"male","male",5.31547745635845,10.7012584477283,-5.38578099136986,"male","male"
"GSE10072_Biomat_105","GSE10072","GSE10072_Biomat_105","male",4.33795487850615,6.01528790682932,9.70783289590999,11.8667052334434,"male","male",5.17662139266774,10.7872690646767,-5.61064767200896,"male","male"
"GSE10072_Biomat_106","GSE10072","GSE10072_Biomat_106","male",6.37088733497444,8.27062917904128,9.01469940051187,11.7658040615588,"male","male",7.32075825700786,10.3902517310353,-3.06949347402747,"male","male"
"GSE10072_Biomat_107","GSE10072","GSE10072_Biomat_107","male",4.36939072427411,5.9971058259315,8.93022492976375,11.7171905471113,"male","male",5.18324827510281,10.3237077384375,-5.14045946333472,"male","male"
"GSE10072_Biomat_11","GSE10072","GSE10072_Biomat_11","male",4.36592056316148,5.84885577094922,8.79930137233034,12.1322474202534,"male","male",5.10738816705535,10.4657743962919,-5.35838622923652,"male","male"
